"Qty:","Qty:"
"Special Price:","Special Price:"
"My Account","My Account"
"Cart","Cart"
"View Cart","View Cart"
"View all items in your shopping cart","View all items in your shopping cart"
"View All","View All"
"Compare","Compare"
"Compare Products","Compare Products"
"Compare all selected items","Compare all selected items"
"Currency","Currency"
"Language","Language"
"Sign Up","Sign Up"
"Enter your e-mail","Enter your e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Related Products","Related Products"
"Zoom","Zoom"
"image {current} of {total}","image {current} of {total}"
"New","New"
"Sale","Sale"
"Categories","Categories"
"Menu","Menu"
"Product Description","Product Description"
"Additional Information","Additional Information"
"Product Tags","Product Tags"

"Enter your email address","Enter your email address"
"Subscribe,Subscribe"
"Mage_Customer::My Account","Mage_Customer::My Account"
"Mage_Wishlist::My Wishlist","Mage_Wishlist::My Wishlist"
"Store Finder","Store Finder"
"Search entire store here...","Search entire store here..."
"choose","choose"
"Mage_Customer::Email:","Mage_Customer::Email:"
"Mage_Customer::Password:","Mage_Customer::Password:"
"Mage_Customer::Login","Mage_Customer::Login"
"Login","Login"
"Hello %s %s!","Hello %s %s!"
"Mage_Catalog::%s Item(s)","Mage_Catalog::%s Item(s)"
"Mage_Catalog::Items %s to %s of %s total","Mage_Catalog::Items %s to %s of %s total"
"Mage_Catalog::per page","Mage_Catalog::per page"
"Mage_Paypal::Sale","Mage_Paypal::Sale"
"Verkauf","Verkauf"
"Mage_Catalog::Shop By","Mage_Catalog::Shop By"
"Mage_Catalog::Add to Wishlist","Mage_Catalog::Add to Wishlist"
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"Clear All","Clear All"
"Shopping Cart","Shopping Cart"
"Mage_Checkout::Shopping Cart","Mage_Checkout::Shopping Cart"
"Short Description","Short Description"
"Discount Codes","Discount Codes"
"Enter your coupon code if you have one.,Enter your coupon code if you have one."
"Ihr Gutschein-Code","your coupon code"
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Mage_Sales::Subtotal","Subotal"
"Mage_Tax::Tax","Tax"
"Mage_Sales::Grand Total","Grand Total"
"Mage_Checkout::Proceed to Checkout","Proceed to Checkout"
"Mage_Customer::Back","Back to Overview"
"Back to Overview","Back to Overview"
"Back to Login","Back to Login"
"Back to Cart","Back to Cart"
"SumTotal","Sum Total"
"My Wishlist","My Wishlist"
"Mage_Wishlist::Share Wishlist","Share Wishlist"
"Mage_Wishlist::Update Wishlist","Update Wishlist"
"All to Cart","All to Cart"
"Gender","Gender"
"Adresse","Address"
"Confirm password","Confirm password"
"Create an account for later use","Create an account for later use"
"City","City"
"Payment method","Payment method"
"Review your order","Review your order"
"Comments","Comments"
"Coupon code:","Coupon code:"
"Uebernehmen","apply"
"Cancel Coupon","Cancel Coupon"
"Sum_Product","Product"
"Sum_Qty","Quantity"
"Sum_Subtotal","Sum Subtotal"
"Subscribe to our newsletter","Subscribe to our newsletter"
"Male","Male"
"Female","Female"
"Please login with your email address and password.","Please login with your email address and password."
"Forgotten your password?","Forgotten your password?"
"Email address","Email address"
"Enter your email below and we'll send you a new password by email.","Enter your email below and we'll send you a new password by email."
"Return to login","Return to login"
"Send password","Send password"
"Please enter a registered email address.","Please enter a registered email address."
"We have now sent you a new password to your email address. Click the link below to return to login.","We have now sent you a new password to your email address. Click the link below to return to login."
Processing,Processing
"%s was added into cart.","%s was added into cart."
"Item was removed.","Item was removed."
"An error occurred","An error occurred  please try again later."
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s has been added to your wishlist. Click <a href=""%2$s"" style=""text-decoration:underline"">here</a> to continue shopping."
"c/o oder Packetstation","c/o oder Packetstation"
"Customer Id","Customer Id"
"Order Id","Order Id"
"Comment","Comment"
"If there is an account associated with %s you will receive an email with a link to reset your password.","If there is an account associated with %s you will receive an email with a link to reset your password."
Your password has been updated.,Your password has been updated.
"per page","per page"
"Proceed directly to Checkout","Proceed directly to Checkout"
"Please enter a valid coupon code.","Please enter a valid coupon code."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Place order now","Place order now"
"Contact","Contact"
"Login / Logout","Login / Logout"
"Salutation","Salutation"
"Mr","Mr"
"Ms/Mrs","Ms/Mrs"
"Mage_Newsletter::There was a problem with the subscription: %s","There was a problem with the subscription: ""%s"". Please, contact  our customer service for help"
"There was a problem with the subscription: %s","There was a problem with the subscription: ""%s"". Please, contact  our customer service for help"
"Please enter a valid full date.","Please enter a valid full date."
"Mage_Checkout::Remove item","Remove item"
"Mage_Checkout::Edit","Edit"
"Mage_Wishlist::Remove item","Remove item"
"Mage_Wishlist::Edit","Edit"
"Remove item","Remove item"
"Edit","Edit"
"Shop By","Shop By"
"Material:","Material:"
"3D Stricktechnik","3D knitting technology"
"Bio-Baumwolle","oragnic cotton"
"Bluedesign","Bluedesign"
"Gepruefte Qualitaet - Tragekomfortnote 1.0"," verified quality -wear comfort rating 1.0"
"Klimaanlage","air conditioner"
"Please specify the product's option(s).","Please specify the product's option(s)."
"Mage_Customer::Edit","Edit"
"Mage_Customer::Manage Addresses","Manage Addresses"
"Mage_Sales::Move to Wishlist","Move to Wishlist"
"Mage_Checkout::Move to Wishlist","Move to Wishlist"
"Move to Wishlist","Move to Wishlist"
"Mage_Checkout::Update Cart","Update Cart"
"Update Cart","Update Cart"
"Update Shopping Cart","Update Shopping Cart"
"Mage_Checkout::Continue Shopping","Continue Shopping"
"Continue Shopping","Continue Shopping"
"Item was updated","Item was updated"
"Click <a href=%s" onclick="this.target=\'_blank\'">here to print</a> a copy of your order confirmation.","Click <a href=%s" onclick="this.target=\'_blank\'">here to print</a> a copy of your order confirmation."
"Deutsch","German"
"Niederlaendisch","Dutch"
"English","English"
"Warenkorb wird aktualisiert.","Shopping Cart is being updated."
"Aktualisierungsfehler","Update error"
"Artikel wurde in den Warenkorb gelegt.","Artikel was moved to your cart."
"Item was updated.","Item was updated."
"Prefix","Prefix"
"Loading,please wait..."," Loading,please wait..."

"Verkauf","Sale"
"inkl. MwSt. | <a href=""%s"">Versandkosten</a>","VAT included. | <a href=""%s"">Shipping costs</a>"
"Qty","Quantity"
"Add to Cart","Add to Cart"
"Details","Details"
"Material/Pflege","Material "
"&lt; back to overview","&lt; back to overview"
"back to overview","back to overview"
"Zum Produkt","View product"
"Lieferbar innerhalb von 1-3 Werktagen","Shipping within 1-3 business days"
"groessenberater","Size chart"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Geschenkverpackung","gift packaging"
"Newsletter Subscription","Newsletter Subscription"
"dd","day of birth: dd"
"mm","month of birth: mm"
"yyyy","year of birth: yyyy"
"Click <a href=""%s"">here</a> to continue shopping."," Click <a href=""%s"">here</a> to continue shopping."
"Meine Daten"," my personal data"
"Bestellstatus","orderhistory "
"Merkliste","my wishlist"
"Newsletter Subscriptions","Mey Newsletter"
"Newsletter Subscribers","Mey Newsletter"
"Newsletter Subscription","Mey Newsletter"
"Date of Birth Format","Please enter your date of birth in the format dd mm yyyy."
"bra sizes","bra sizes"
"Passwort <a href=""%s"" style=""text-decoration:underline"">hier</a> neu beantragen","Dear Mey customer, we have improved our security measures for you and would like to ask all our existing customers to request a new password. Simply enter your registered email address. Within a few minutes, you will receive an automated response via email, where you can specify your new password. Click <a href=""%s"" style=""text-decoration:underline"">here</a> or click "Forgot your password?" to create a new password. Once you have logged in, you can modify your password any time."
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Mage_Checkout::Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation."
"amount","bedrag"
"Mage_Checkout::Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"amount","amount"
"price","price"
"total price","total price"
"Invalid login or password.","Invalid login or password."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address."
"Prefix","Prefix"
"Art. Nr. ","Art. Nr. "
"Style","Style"
"Gender is a required Field","Gender is a required Field"
"Currently this product is not available","Currently this product is not available"
"Our Categories","Categories"
"Pages","Pages"
"Material","Material"
"Pflege","Care"
"Apply Coupon2","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"Shipping Notice 1",""
"No Search results for '%s'","Unfortunately, we have found no results for ""%s""."
"Searchresult","Searchresult"
"Our Hint!","Our Hint!"
"Check your spelling, try to choose a less specific term, or try to find the desired product over the filtering.","Check your spelling, try to choose a less specific term, or try to find the desired product over the filtering."
"Women Collection","Women's Collection"
"To The Collection","To The Collection"
"Menswear Collection","Menswear Collection"

"Thank you for your purchase!","Thank you for your purchase"
"Your order # is: OID %s.","Your order number is: OID %s"
"We are pleased that you have purchased in the Online shop Mey and wish you much joy with your purchase.","We are delighted that you have purchased in the Online shop Mey and wish you much joy with your purchase. <br> Here you will find an overview of your data and order."
"Mey wishes you a sensual experience in buying at Mey Online Store.","Mey wishes you a sensual experience in buying Mey Online Store."
"Your Dates","Your Data"
"Payment","payment method"
"Your Order","Your order summary"
"Subtotals","Subtotal"
"MwSt.","VAT.% 19"
"Sum","Total"
"Back to Shop","Back to shop"
"Print List","Print List"

"Stay with Us!","Please stay with us! We also offer a loyalty voucher for € 5!"
"Thx for Visit Mey","WHAT A SHAME!"
"For Loyality a Coupon.","YOU WANT TO LEAVE SO SOON? HERE'S A LITTLE THANK YOU FOR YOUR VISIT:"
"Your Couponcode","PLEASE ENTER YOUR PERSONAL CODE"
"Continue ShoppingPopup","KEEP SHOPPING AND REDEEM YOUR VOUCHER"
"Use your Coupon","IN THE FIELD PROVIDED IN THE SHOPPING CART<br>AND ACTIVATE YOUR <span class=""magenta"">&euro;5 VOUCHER</span>.<br><br>YOUR MEY TEAM<br>"
"*with 30 Euro and no Paycheck","*FROM A MINIMUM ORDER VALUE OF €30. CANNOT BE COMBINED WITH OTHER DISCOUNTS OR SPECIAL OFFERS. NO CASH PAYMENTS PERMITTED."
